ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
004001140;Barum 11.00 R 20 150/146K TT;BF 13 # 0530127000;17856;314,6;263,12;2;0;;-1;1
004001160;Barum 12.00 R 20 154/149K TT;BF 13 # 0530116000;17858;320,1;267,72;2;0;;-1;1
004002600;Barum 295/80 R 22.5 152/148 M  TL;BF 15 # 0560230000;31999;264;220,8;2;0;;-1;1
004004240;Barum 245/70 R 17.5 143/141 J  TL;BT 43 # 0470129000;38832;201,3;168,36;2;0;;-1;1
004005730;Barum 315/80 R 22.5 156/150 K  TL;BU 54 M+S # 0515081000;56017;335,5;280,6;2;0;;-1;1
004005740;Barum 12  R 22.5 152/148 K  TL;BS 73 M+S # 0525006000;56019;312,4;261,28;2;0;;-1;1
004006030;Barum 125/75 - 8;ROBUST Industry SIT 3.00- (15x4 1/2-8) #;409068;;76,38;2;0;;-1;1
004006750;Barum 155/80 R 13  79 T   TL;Brillantis 2 # 1540478000;59409;35,2;30,272;4;0;;-1;1
004007530;Barum 225/50 R 17 XL  98 H   TL;Polaris 3 FR # 1541107000;400385;74,8;64,328;4;0;;-1;1
004007650;Barum 215/55 R 16  93 H   TL;Polaris 3 # 1541122000;400393;60,3;51,858;4;0;;-1;1
004007760;Barum 145/70 R 13  71 T   TL;Polaris 3 # 1541006000;400374;32,3;27,778;4;0;;-1;1
004008590;Barum 175/65 R 14 C  90 T   TL;SnoVanis 2 # 0444034000;251489;56,8;48,848;4;0;;-1;1
004008600;Barum 215/70 R 15 C 109 R   TL;SnoVanis 2 # 0444032000;250413;73;62,78;4;0;;-1;1
004008770;Barum 195/45 R 15  78 V   TL;Bravuris 3HM FR # 1540554000;266877;49,3;42,398;4;0;;-1;1
004009410;Barum 12.00 R 20 154K TT;BS 71 M+S # 0525074000;268271;339,9;284,28;2;0;;-1;1
004009420;Barum 13  R 22.5 154 K  (156/150G) 156/150G  TL;BS 73 M+S # 0525075000;266424;339,9;284,28;2;0;;-1;1
004009440;Barum 295/80 R 22.5 152 M   TL;BD 22 M+S # 0522183000;293214;269,5;225,4;2;0;;-1;1
004009760;Barum 215/75 R 17.5 126 M   TL;BF 200 R M+S # 0412067000;370412;132;110,4;2;0;;-1;1
004010020;Barum 225/50 R 17 XL  98 V   TL;Polaris 3 FR # 1541177000;355016;74,8;64,328;4;0;;-1;1
004010360;Barum 205/75 R 17.5 124 M   TL;BF 14 # 0412083000;378613;137,5;115;2;0;;-1;1
004090187;Barum 165/65 R 13  77 T   TL;Brillantis 2 -DOT 13-;59410;24,9;21,414;4;1;0,9;;1
004090193;Barum 175/65 R 14 C  90 T   TL;Vanis 2 -DOT 13-;418439;36,8;31,648;4;1;0,9;;1
004090197;Barum 235/70 R 16 106 T   TL;Polaris 3 4x4 BSW -DOT 13-;402773;61,1;52,546;4;1;0,9;;1
004090200;Barum 175/80 R 14  88 H   TL;Brillantis 2 -DOT 14-;64268;41,1;35,346;4;1;0,92;;1
004090201;Barum 145/70 R 13  71 T   TL;Brillantis 2 -DOT 13-;59405;21,8;18,748;4;1;0,87;;1
004090202;Barum 165/70 R 14 C  89 R   TL;SnoVanis 2 -DOT 14-;253014;47,1;40,506;4;1;0,92;;1
008003950;Bridgestone 225/50 ZR16   TL;S-02 N3 # 71209;4801;88,1;75,766;4;0;;-1;1
008006760;Bridgestone 225/75 R 17.5 129/127 M  TL;R 227 # 50132;14516;207,9;173,88;2;0;;-1;1
008007310;Bridgestone 10  R 17.5 134/132 L  TL;VSX # 03905;20403;273,35;228,62;2;0;;-1;1
008008520;Bridgestone 4.00 -  8  55J TT;SS # 70040;5674;33,4;30,214;1;0;;-1;1
008010630;Bridgestone 10.00 - 20 SET 14PR;FG -SET- # 64303;43736;380,6;318,32;2;0;;-1;1
008019670;Bridgestone16 x  7.00 -  8 SET 2 PR;PL -SET- # 68072;36714;83,05;69,46;2;0;;-1;1
008019750;Bridgestone20.5 x  8.00 - 10 TL 4 PR;PD 1 # 70451;36724;123,75;103,5;2;0;;-1;1
008019760;Bridgestone22 x  8.50 - 12 TL 4 PR;PD 1 # 72729;36728;143;119,6;2;0;;-1;1
008019800;Bridgestone24 x  8.50 - 12 TL 4 PR;PD 1 # 70453;36733;169,95;142,14;2;0;;-1;1
008019810;Bridgestone24 x  8.50 - 12 TL 4 PR;M 40 B # 72899;36734;162,25;135,7;2;0;;-1;1
008019820;Bridgestone24 x  8.50 - 14 TL 4 PR;PD 1 # 71002;36742;179,85;150,42;2;0;;-1;1
008019830;Bridgestone25 x  8.50 - 14 TL 4 PR;PD 1 # 70849;36743;186,45;155,94;2;0;;-1;1
008019910;Bridgestone 6   - 14  4PR SET;FD -SET- # 68018;36737;104,5;87,4;2;0;;-1;1
008019990;Bridgestone 8   - 16  4PR SET;FSLM -SET- # 68020;36755;181,5;151,8;2;0;;-1;1
