ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
004002600;Barum 295/80 R 22.5 152/148 M  TL;BF 15 # 0560230000;31999;264;220,8;2;0;;-1;1
004003880;Barum 165/80 R 14  85 T   TL;Brillantis # 1540321000;45021;36,1;31,046;4;0;;-1;1
004005740;Barum 12  R 22.5 152/148 K  TL;BS 73 M+S # 0525006000;56019;312,4;261,28;2;0;;-1;1
004006470;Barum 205/70 R 15  96 T   TL;Bravuris 4x4 # 1535006000;57633;57;49,02;4;0;;-1;1
004007530;Barum 225/50 R 17 XL  98 H   TL;Polaris 3 FR # 1541107000;400385;74,8;64,328;4;0;;-1;1
004008150;Barum 215/60 R 17  96 H   TL;Bravuris 4x4 FR # 1535031000;402778;81;69,66;4;0;;-1;1
004008590;Barum 175/65 R 14 C  90 T   TL;SnoVanis 2 # 0444034000;251489;56,8;48,848;4;0;;-1;1
004008820;Barum 225/55 R 16  95 V   TL;Bravuris 3HM # 1540542000;260871;70,8;60,888;4;0;;-1;1
004009440;Barum 295/80 R 22.5 152 M   TL;BD 22 M+S # 0522183000;293214;269,5;225,4;2;0;;-1;1
004010020;Barum 225/50 R 17 XL  98 V   TL;Polaris 3 FR # 1541177000;355016;74,8;64,328;4;0;;-1;1
004010050;Barum 235/60 R 16 100 H   TL;Bravuris 4x4 # 1535044000;365049;70,9;60,974;4;0;;-1;1
004090187;Barum 165/65 R 13  77 T   TL;Brillantis 2 -DOT 13-;59410;24,9;21,414;4;1;0,9;;1
004090193;Barum 175/65 R 14 C  90 T   TL;Vanis 2 -DOT 13-;418439;36,8;31,648;4;1;0,9;;1
004090197;Barum 235/70 R 16 106 T   TL;Polaris 3 4x4 BSW -DOT 13-;402773;61,1;52,546;4;1;0,9;;1
004090200;Barum 175/80 R 14  88 H   TL;Brillantis 2 -DOT 14-;64268;40,7;35,002;4;1;0,92;;1
004090202;Barum 165/70 R 14 C  89 R   TL;SnoVanis 2 -DOT 14-;253014;42,3;36,378;4;1;0,92;;1
004090205;Barum 195/70 R 15 RF  97 T   TL;OR 56 Cargo -DOT 14-;16180;36,7;31,562;4;1;0,92;;1
004090206;Barum 235/70 R 16 106 H   TL;Bravuris 4x4 -DOT 14-;359625;66;56,76;4;1;0,92;;1
008007310;Bridgestone 10  R 17.5 134/132 L  TL;VSX # 03905;20403;286;239,2;2;0;;-1;1
008013660;Bridgestone 160/60 ZR17  (69W)  TL;BT 56 J REAR # 76345;13050;103;93,08;1;0;;-1;1
008019750;Bridgestone20.5 x  8.00 - 10 TL 4 PR;PD 1 # 70451;36724;123,75;103,5;2;0;;-1;1
008019760;Bridgestone22 x  8.50 - 12 TL 4 PR;PD 1 # 72729;36728;143;119,6;2;0;;-1;1
008019800;Bridgestone24 x  8.50 - 12 TL 4 PR;PD 1 # 70453;36733;169,95;142,14;2;0;;-1;1
008019810;Bridgestone24 x  8.50 - 12 TL 4 PR;M 40 B # 72899;36734;162,25;135,7;2;0;;-1;1
008019820;Bridgestone24 x  8.50 - 14 TL 4 PR;PD 1 # 71002;36742;179,85;150,42;2;0;;-1;1
008019830;Bridgestone25 x  8.50 - 14 TL 4 PR;PD 1 # 70849;36743;186,45;155,94;2;0;;-1;1
008019910;Bridgestone 6   - 14  4PR SET;FD -SET- # 68018;36737;104,5;87,4;2;0;;-1;1
008020540;Bridgestone 150/60 R 18  67 H   TL;BT 090 PRO REAR # 77018;20433;81;74,16;1;0;;-1;1
008025280;Bridgestone 210/60 D 8   56 A6   TL;M 40 B # 76745;36718;115,5;96,6;2;0;;-1;1
008028560;Bridgestone 195/65 R 15  91 H   TL;B 250 OPEL # 78290;31570;46;39,56;4;0;;-1;1
