ArtikelNr,T24ID,Price,Cheapest,Error
010000075,377176,69.49,64.66,0
010000085,372705,68.43,65.06,0
010000095,370236,109.98,108.7,0
010000105,371271,93.57,89.8,0
010000115,372647,93.98,90.91,0
010000125,370245,99.35,97.48,0
010000160,7063,46.73,40.39,0
010000345,372777,115.56,115.58,0
010000365,370235,67.78,64.1,0
010000415,370242,110.28,106.37,0
010000425,370251,114.82,110.75,0
010000480,7031,61.35,52.12,0
010000655,370233,86.28,84.82,0
010000665,369618,81.93,77.5,0
010000675,370234,75.9,74.47,0
010000685,370241,100.95,99.52,0
010000695,370253,92.44,91.14,0
010000705,370258,115.58,104.67,0
010000715,370259,100.98,99.2,0
010000725,370238,104.98,100,0
010000735,370239,76.23,73.56,0
010000745,370240,118.53,114.5,0
010000755,370243,91.71,87.73,0
010000775,370246,103.21,100,0
010000785,370247,113.7,109.89,0
010000795,370248,137.03,121.87,0
010000805,370249,138.77,135.64,0
010000815,370252,88.47,85.39,0
010000825,370237,76.38,73.83,0
010000835,370254,96.28,94.01,0
010000845,370256,100.4,96.5,0
010000855,370257,127.63,125.89,0
010000865,370260,112.98,108.9,0
010000875,370261,76.98,74.25,0
010000885,370262,83.38,81.44,0
010000895,370263,76.38,73.87,0
010000905,370264,76.46,73.45,0
010000915,370265,93.75,91.02,0
010000975,371005,150.48,145,0
010001065,368793,109.48,107.42,0
010001305,371944,160.28,151.98,0
010001315,387548,57.18,56.42,0
010001335,324731,357.98,317.72,0
010001435,387632,369.98,326.99,0
010001440,7065,47.4,42.36,0
010001505,377019,76.59,74.49,0
010002125,378041,62.91,60.68,0
010002185,376831,137.64,137.64,0
010002235,376774,99.48,94.61,0
010002245,376771,81.84,76,0
010002315,376818,96.62,90.73,0
010002355,376820,127.3,121.5,0
010002405,376709,94.55,86.58,0
010002425,376716,88.81,82.78,0
010002445,376714,87.83,85.94,0
010002455,376710,93.62,89.4,0
010002515,376733,106.38,100.77,0
010002525,376727,120.04,113.86,0
010002545,376704,115.65,108.2,0
010002575,376743,111.45,104.39,0
010002835,389590,66.95,66.35,0
010003090,12062,61.46,54.23,0
010003255,372674,150.78,136.34,0
010003455,368154,74.96,74.96,0
010003465,363566,85.48,84.38,0
010003570,7378,63.14,62.84,0
010003630,7394,66.48,63.46,0
010003660,7424,85.16,82.97,0
010003690,12075,79.56,78.42,0
010003780,17711,202.98,194.9,0
010004540,17822,-0.98,0,1
010006420,42079,314.48,298.98,0
010006430,42080,356.98,282.95,0
010006450,42081,320.98,306.97,0
010006460,42082,326.98,319.95,0
010006470,42083,351.98,337.77,0
010006490,42085,383.98,350,0
010006500,42086,381.98,368,0
010006510,42095,254.61,218,0
010006530,42094,331.96,331.98,0
010006560,42088,351.98,347,0
010006580,42087,410.98,394.97,0
010006890,36957,37.66,37.68,0
010006910,36959,51.08,51.1,0
010006920,36962,60.85,60.87,0
010006930,36963,-0.98,0,1
010006990,36968,94.88,94.9,0
010007050,36969,88.42,88.44,0
010007070,36978,-0.98,0,1
010007080,36985,114.8,114.82,0
010007100,36987,120.65,120.67,0
010007110,190585,-0.98,0,1
010007120,36992,110.01,110.03,0
010007130,36994,131.36,131.38,0
010007140,36993,140.75,140.77,0
010007150,36995,161.31,161.33,0
010007180,36999,190.92,190.94,0
010007200,37002,e,e,1
010007210,37001,341.13,341.15,0
010007220,37003,225.23,225.25,0
010007310,37015,177.36,177.38,0
010007350,36972,83.98,84,0
010007370,36973,99.62,99.64,0
010007390,36980,113.98,114,0
010007400,36979,100.54,100.56,0
010007440,37020,-0.98,0,1
010007450,37021,220.27,220.29,0
010007510,37030,264.93,264.95,0
010007530,37026,199.31,199.33,0
010007590,46620,473.93,473.95,0
010007600,37035,302.48,302.5,0
010007610,37036,332.25,332.27,0
010007690,31108,-0.98,0,1
010008130,31126,-0.98,0,1
010009320,31263,-0.98,0,1
010010550,13216,86.38,80.49,0
010010790,13240,85.81,81.1,0
010010800,13242,70.55,70.57,0
010010810,13243,73.6,68.5,0
010010820,13244,65.36,60.39,0
010010860,13248,101.96,96.92,0
010010870,13249,92.51,86.88,0
010010890,13251,91.5,86.05,0
010011490,7520,42.75,39.42,0
010011500,7540,74.98,69.55,0
010011530,7527,61.41,56.45,0
010011550,7515,51.52,47.89,0
010011560,7542,76.98,72.19,0
010011730,7547,51.23,46.97,0
010011740,7549,58.62,53.45,0
010011750,7500,37.78,34,0
010011760,7503,40.33,37,0
010011770,7510,48.84,45.21,0
010011790,7541,65.95,61.73,0
010011810,7513,43.98,32.5,0
010011820,7523,45.98,42.04,0
010011830,7532,57.98,54,0
010011840,7536,46.48,43,0
010011850,7473,66.4,61.99,0
010011860,7481,66.25,62,0
010011870,7484,81.56,76.4,0
010011880,7491,85.48,80,0
010011890,7496,92.98,88.32,0
010011900,13171,69.48,64.74,0
010012080,13188,26.48,23.38,0
010012090,13189,26.18,23.34,0
010012100,13190,34.23,31.13,0
010012110,13191,28.43,28.45,0
010012660,61843,152.85,152.87,0
010013170,61779,196.84,196.86,0
010013560,61801,258.78,258.8,0
010013720,61718,848.37,848.39,0
010014060,61464,23,23.02,0
010014470,61498,38.9,38.92,0
010014700,61528,51.78,51.8,0
010014710,61530,51.78,51.8,0
010014780,61534,61.77,61.79,0
010014810,61550,54.54,54.56,0
010015730,37008,118.98,119,0
010020950,15450,104.98,101.48,0
010020960,15451,107.99,105.81,0
010021250,16101,44.25,41.11,0
010021670,15009,145.62,142,0
010023130,20836,24.38,17.94,0
010023140,20838,24.13,20.62,0
010023170,20844,29,24,0
010023180,20841,23.49,19.55,0
010023190,20842,26.48,23,0
010023200,20846,30.98,26.87,0
010023210,20848,23.6,19.95,0
010023330,13247,80.44,75.19,0
010023340,20839,32.49,32.49,0
010023400,13252,89.49,84.49,0
010023440,7479,58.98,55.67,0
010023460,7467,72.48,67.32,0
010023710,31138,1622.98,1623,0
010025280,20837,21.98,17,0
010025300,20840,25.28,18.05,0
010025310,20845,29.46,25.25,0
010025320,20847,22.05,17.69,0
010025330,20843,23.72,18.95,0
010025350,20811,48.49,44.86,0
010025360,20812,51.03,45.58,0
010025380,20814,58.85,54.86,0
010025390,20815,60.63,53.73,0
010025400,20816,61.83,57.69,0
010025410,20817,64.71,60.65,0
010025420,20818,69.48,60.55,0
010025500,34122,24.25,20.71,0
010025510,20799,27.58,24.51,0
010025520,20800,29.88,24.39,0
010025530,34120,23.78,20.71,0
010025540,20802,27.98,24.85,0
010025550,20803,27.38,24.3,0
010025560,20804,29.48,27.4,0
010025570,20805,30.98,26,0
010025580,20806,30.38,25.73,0
010025590,20807,30.98,27.88,0
010025600,20808,28.28,25.37,0
010025760,20810,35.07,31.74,0
010025770,20822,45.19,40.77,0
010026160,19505,54.18,49.07,0
010026480,19572,60.52,58,0
010026960,26080,-0.98,64.9,1
010027870,23806,279.35,279.37,0
010028410,31210,-0.98,0,1
010028770,26049,37.78,30.67,0
010028780,59287,33.77,32.9,0
010028820,26054,39.39,32.29,0
010028910,26062,46.28,37.21,0
010028940,26064,40.53,39.91,0
010029160,31652,59.28,52.57,0
010029360,26110,76.98,66.14,0
010029400,26113,135.38,129.61,0
010029660,29860,81.98,75.02,0
010029770,43326,29.48,26.5,0
010029780,29882,39.28,35.95,0
010029790,29883,35.27,31.54,0
010029800,29884,39.96,35.77,0
010029820,29895,33.65,30.52,0
010029840,29896,33.38,30.11,0
010029860,29898,40.98,37.35,0
010029880,27899,57.52,56.17,0
010030200,27929,81.48,79.01,0
010030520,28955,41.98,40.94,0
010030550,49186,36.55,35.62,0
010030590,28961,45.82,44.07,0
010030610,28963,40.56,39.42,0
010030760,28978,69.95,68.66,0
010032100,28993,86.63,85.29,0
010032230,31104,-0.98,0,1
010032620,29852,24.73,21.43,0
010032630,34123,24.98,21.32,0
010033310,32917,76.05,74.45,0
010033330,32927,101.38,98.93,0
010033540,32825,79.68,77.98,0
010033920,31695,145.48,132.32,0
010034080,44931,128.56,120.09,0
010034210,32393,101.48,97.23,0
010034470,32826,75.25,70.19,0
010034930,32879,40.76,40.2,0
010034950,32882,51.29,48.46,0
010034960,35292,50.88,42.66,0
010035070,32760,50.89,50.02,0
010035080,32761,54.29,49.46,0
010035120,32765,81.8,80.79,0
010035130,32766,92.13,80.52,0
010035180,32769,92.05,87.72,0
010035190,32770,92.75,91.49,0
010035260,32778,49.72,48.25,0
010035290,32909,94.53,91.81,0
010035320,32789,69.69,68.1,0
010035370,32793,68.75,65,0
010035430,32926,126.64,99.5,0
010035680,35338,e,e,1
010035750,32966,157.79,154.66,0
010035820,32983,69.17,67.14,0
010036000,32771,134.46,119.87,0
010036020,32782,85.75,84.34,0
010036110,32792,125.5,123.03,0
010036270,35286,122.75,107.1,0
010036370,34112,37.17,33.91,0
010036380,34113,38.93,36.31,0
010036390,34114,46.98,43,0
010036400,34115,47.97,43.53,0
010036410,34117,25.1,22.79,0
010036420,34119,25.12,21.19,0
010036480,34116,35.58,32.24,0
010036580,35283,74.84,62.21,0
010036600,46528,94.74,83.65,0
010036700,35254,47.87,46.27,0
010036920,35272,123.05,99.99,0
010036940,35277,144.48,139.84,0
010037160,35320,116.28,112.4,0
010037210,57794,104.09,96.35,0
010037670,38894,198.23,198.21,0
010037680,38895,229.34,217.39,0
010037920,38732,72.12,71.05,0
010038110,37521,120.89,114.46,0
010038440,38763,170.54,148.91,0
010038710,38511,109.66,108.16,0
010038830,38845,108.9,102.38,0
010038970,38847,104.98,97,0
010039000,38906,344.88,344.9,0
010039060,38720,90.58,90.3,0
010039070,38721,108.53,106.08,0
010039080,38722,122.76,121.06,0
010039210,40569,-0.98,150,1
010040120,40579,49.78,49.03,0
010040140,28983,50.83,49.54,0
010040150,40578,52.06,48.95,0
010040180,40581,83.96,82.9,0
010040190,40580,86.85,84.54,0
010040250,40533,175.13,172.66,0
010040300,40588,156.75,145.98,0
010040330,40534,198.35,191.53,0
010040400,42443,e,e,1
010040880,40396,52.87,47.78,0
010040890,40397,59.88,56.11,0
010041020,40420,248.83,184.7,0
010041130,40410,88.31,86.74,0
010041160,40413,115.1,115.09,0
010041270,40424,99.08,99.1,0
010041330,42476,42.88,40.89,0
010041340,42423,66.2,65.12,0
010041360,42433,74.84,71.6,0
010041370,42424,105.53,94.49,0
010041380,42478,47.68,46.22,0
010041390,42477,48.51,47.12,0
010041400,42467,46.34,40.35,0
010041430,42456,87.25,85.91,0
010041640,42514,73.1,72.03,0
010041990,42485,85.78,77.06,0
010042250,67578,351.93,347.1,0
010042270,42066,365.36,336.9,0
010042280,42067,351.77,329.84,0
010042310,42418,50.78,50.43,0
010042630,42499,130.33,126.96,0
010042640,42493,219.79,192.64,0
010042670,42528,108.91,108.9,0
010042780,42484,32.93,32.93,0
010043220,61675,934.98,935,0
010043240,61676,152.16,152.18,0
010043250,61825,185.05,185.07,0
010043260,61824,187.67,187.69,0
010043280,61677,222,222.02,0
010043290,61708,234.27,234.29,0
010043300,61707,197.47,197.49,0
010043310,61678,350.32,350.34,0
010043840,43291,105.86,101,0
010043850,43292,105.86,100.95,0
010043940,43302,106.98,100.95,0
010044010,43314,30.48,26.79,0
010044020,43315,35.88,30.42,0
010044030,43316,32.38,29,0
010044040,43317,34.94,31.53,0
010044050,43320,33.92,29,0
010044060,43321,33.35,33.35,0
010044070,43318,25.88,20.77,0
010044080,43319,26.57,22,0
010044090,46091,27.48,20.99,0
010044100,43322,29.88,26.77,0
010044120,43310,231.15,231.17,0
010044140,43327,29.98,26.85,0
010044150,43323,25.49,21.83,0
010044170,43325,28.83,25.72,0
010044350,44912,66.62,59,0
010044400,44913,112.17,105.76,0
010044550,44888,85.04,80,0
010044560,44898,89.67,75.61,0
010044590,44956,57.38,56.53,0
010044660,44946,110.88,97.44,0
010044740,44944,102.38,87.51,0
010044790,44942,198.84,193.81,0
010044880,44951,96.14,85.09,0
010044960,44965,90.76,80.79,0
010045280,55303,25.86,22.32,0
010045290,47650,28.17,25.04,0
010045810,46524,53.52,52.66,0
010045830,46548,181.7,162.82,0
